token_volume,semantic_redundancy,distractor_density,structural_coherence,freshness_spread,observed_loss
77.3956,43.8878,85.8598,69.7368,9.4177,0.5176
97.5622,76.1140,78.6064,12.8114,45.0386,0.5932
37.0798,92.6765,64.3865,82.2762,44.3414,0.6551
22.7239,55.4585,6.3817,82.7631,63.1664,0.4296
75.8088,35.4526,97.0698,89.3121,77.8383,0.7370
19.4639,46.6721,4.3804,15.4289,68.3049,0.3306
74.4762,96.7510,32.5825,37.0460,46.9556,0.5582
18.9471,12.9922,47.5705,22.6909,66.9814,0.3497
43.7152,83.2678,70.0265,31.2367,83.2260,0.7026
80.4764,38.7478,28.8328,68.2496,13.9752,0.4520
19.9908,0.7362,78.6924,66.4851,70.5165,0.5318
78.0729,45.8916,56.8741,13.9797,11.4530,0.4405
66.8403,47.1096,56.5236,76.4999,63.4718,0.5475
55.3579,55.9207,30.3950,3.0818,43.6717,0.3217
21.4585,40.8529,85.3403,23.3939,5.8303,0.3121
28.1384,29.3594,66.1917,55.7032,78.3898,0.4728
66.4314,40.6387,81.4020,16.6973,2.2712,0.4104
9.0048,72.2359,46.1877,16.1272,50.1045,0.4181
15.2312,69.6320,44.6156,38.1021,30.1512,0.4582
63.0283,36.1813,8.7650,11.8006,96.1898,0.4473
90.8581,69.9707,26.5870,96.9176,77.8751,0.7021
71.6890,44.9362,27.2242,9.6391,90.2602,0.3834
45.5776,20.2363,30.5957,57.9220,17.6773,0.3475
85.6614,75.8520,71.9463,43.2093,62.7309,0.6801
58.4098,64.9847,8.4444,41.5807,4.1614,0.3643
49.3991,32.9861,14.4524,10.3403,58.7645,0.4372
17.0593,92.5120,58.1061,34.6870,59.0915,0.5849
2.2804,95.8559,48.2303,78.2735,8.2730,0.5051
48.6658,49.0707,93.7826,57.1728,47.3489,0.5440
26.6976,33.1569,52.0672,43.8911,2.1612,0.2903
82.6292,89.6161,14.0249,55.4036,10.8576,0.5003
67.2240,28.1234,65.9423,72.6995,76.8647,0.5829
10.7741,91.6012,23.0214,3.7413,55.4852,0.3943
37.0922,82.9790,80.8251,31.7139,95.2899,0.6736
29.0918,51.5057,25.5965,93.6044,16.4608,0.3781
4.4911,43.5097,99.2376,89.1677,74.8608,0.6824
