token_volume,semantic_redundancy,distractor_density,structural_coherence,freshness_spread,observed_loss
0,0,0,0,0,0.02
10,0,5,5,5,0.04
20,5,10,10,10,0.06
30,10,15,15,15,0.10
40,15,20,20,20,0.14
50,20,25,25,25,0.18
60,25,30,30,30,0.22
70,30,35,35,35,0.27
80,40,40,40,40,0.32
85,50,45,45,50,0.38
90,60,50,50,60,0.45
92,70,55,55,70,0.52
95,80,60,60,80,0.58
97,85,65,65,85,0.64
98,90,70,70,90,0.70
99,92,75,75,92,0.74
99,94,80,80,94,0.78
100,96,85,85,96,0.82
100,98,90,90,98,0.86
100,100,95,95,100,0.90
50,80,80,30,30,0.45
30,10,80,10,10,0.18
80,10,10,80,10,0.30
10,10,10,10,80,0.20
70,70,70,70,70,0.55
20,20,20,20,20,0.10
60,30,40,50,40,0.30
40,40,40,40,40,0.22
85,55,55,55,55,0.45
95,75,75,75,75,0.65
